Gate,Max Aircraft (ADG),Widebody,Narrowbody
S1,B777-200LR (V),1,
S1A,"B737-900W, A321 (1 1 1)",,1
S1B,"B737-900W, A321 (1 1 1)",,1
S2,"B737-900W, A321 (1 1 1)",,1
S3,B777-200ER (V),1,
S3A,"B737-900W, A321 (1 1 1)",,1
S4,"B787-800, A330-200 (V)",1,
S4A,"B737-900W, A321 (1 1 1)",,1
S4B,"B737-700, A320 (111)",,1
S5,"B737-900W, A321 (1 1 1)",,1
S6,B757-300 (IV),,1
S6A,"B737-900W, A321 (1 1 1)",,1
S7,A330-900 (V),1,
S7A,"B737-900W, A321 (1 1 1)",,1
S8,B787-900 (V),1,
S8A,"B737-900W, A321 (1 1 1)",,1
S9,"B747-400, B777-300ER (V)",1,
S9A,"B737-900W, A321 (1 1 1)",,1
S9B,"B737-900W, A321 (1 1 1)",,1
S10,"B747-400, B777-300ER (V)",1,
S10A,"B737-900W, A321 (1 1 1)",,1
S10B,"B737-900W, A321 (1 1 1)",,1
S11,"B747-400, B777-300ER (V)",1,
S12,"B747-400, B777-300ER (V)",1,1
S15,"A380-800, B747-8 (VI)",1,1
S16,"B747-400, B777-300ER (V)",1,1